"COUNTRY_CD","STATE_CD","STATE_NM"
AF,"00",Unspecified
AR,"00",Unspecified
AY,"00",Unspecified
BG,"00",Unspecified
CI,"00",Unspecified
CN,"00",Unspecified
CN,"90",New Brunswick
CN,"91",Quebec
CN,"92",Ontario
CN,"93",Manitoba
CN,"94",Saskatchewan
CN,"95",Alberta
CN,"96",British Columbia
CN,"97",Yukon Territories
CN,"98",Nova Scotia
CV,"00",Unspecified
DR,"00",Unspecified
ES,"00",Unspecified
FM,"00",Unspecified
GT,"00",Unspecified
HA,"00",Unspecified
HO,"00",Unspecified
IZ,"00",Unspecified
JA,"00",Unspecified
MX,"00",Unspecified
MX,"81",Tamulipas
MX,"82",Nuevo Leon
MX,"83",Coahuila
MX,"84",Chihauhau
MX,"85",Sonora
MX,"86",Baja California Norte
NU,"00",Unspecified
PE,"00",Unspecified
PM,"00",Unspecified
PM,"61",Panama
PS,"00",Unspecified
RM,"00",Unspecified
RP,"00",Unspecified
UP,"00",Unspecified
US,"00",Unspecified
US,"01",Alabama
US,"02",Alaska
US,"04",Arizona
US,"05",Arkansas
US,"06",California
US,"08",Colorado
US,"09",Connecticut
US,"10",Delaware
US,"11",District of Columbia
US,"12",Florida
US,"13",Georgia
US,"15",Hawaii
US,"16",Idaho
US,"17",Illinois
US,"18",Indiana
US,"19",Iowa
US,"20",Kansas
US,"21",Kentucky
US,"22",Louisiana
US,"23",Maine
US,"24",Maryland
US,"25",Massachusetts
US,"26",Michigan
US,"27",Minnesota
US,"28",Mississippi
US,"29",Missouri
US,"30",Montana
US,"31",Nebraska
US,"32",Nevada
US,"33",New Hampshire
US,"34",New Jersey
US,"35",New Mexico
US,"36",New York
US,"37",North Carolina
US,"38",North Dakota
US,"39",Ohio
US,"40",Oklahoma
US,"41",Oregon
US,"42",Pennsylvania
US,"44",Rhode Island
US,"45",South Carolina
US,"46",South Dakota
US,"47",Tennessee
US,"48",Texas
US,"49",Utah
US,"50",Vermont
US,"51",Virginia
US,"53",Washington
US,"54",West Virginia
US,"55",Wisconsin
US,"56",Wyoming
US,"60",American Samoa
US,"62",Canton and Enderbury Islands
US,"66",Guam
US,"67",Johnston Atoll
US,"69",Northern Mariana Islands
US,"71",Midway Islands
US,"72",Puerto Rico
US,"73","Ryukyu Islands, Southern"
US,"74",Swan Islands
US,"75","Trust Territories, Pacific Is"
US,"76",U.S. Misc Caribbean Islands
US,"77",U.S. Misc Pacific Islands
US,"78",Virgin Islands
US,"79",Wake Island
ET,"00",Unspecified
RM,"68",Marshall Islands
US,"65",Palmyra Atoll
CA,"90",New Brunswick
PS,"70",Palau
CA,"93",Manitoba
CA,"92",Ontario
CA,"00",Unspecified
CA,"96",British Columbia
CA,"97",Yukon Territories
AM,"00",Unspecified
CA,"95",Alberta
CA,"94",Saskatchewan
CA,"98",Nova Scotia
FM,"64",Federated States Of Micronesia
VC,"00",Unspecified
CA,"91",Quebec
